ID;HTS;TAMHOGAR;INGFAM;SEXO;AUTLIC;HORA;ORIGEN;DESTINO;JEFEHOGAR;NUMAUTO;NUMEST;NUMTRAB;LICTOT;CANTALT;ELECCION;TV1;TV2;TV3;TV4;TV5;TV6;TV7;TV8;TV9;TV6A;TV6M;TV7A;TV7M;TV8T;TV8M;TV9B;TV9M;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TE3;TE4;TE5;TE6;TE7;TE8;TE9;CT1;CT2;CT3;CT4;CT5;CT6;CT7;CT8;CT9;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9
356;45;4;180;0;1;740;315;700;1;2;2;2;2;8;6;16.37;16.37;15.92;0;33.87;17.92;24.83;17.1;20;2.82;15.1;9.73;15.1;2;15.1;4.9;15.1;2.63;2.63;10.57;0;10.57;6.37;6.37;11.17;11.17;0.4;0;0.7;1.3;1.3;1.7;1.5;4.66;0.61;2.04;0;0.68;0.68;0.44;1.29;1.12;1;1;1;0;1;1;1;1;1
357;40;3;34;0;0;735;410;511;1;0;1;1;0;3;5;0;0;12.08;0;22.18;0;0;18.13;0;0;0;0;0;6.23;11.9;0;0;0;0;5.88;0;3.83;0;0;4.92;0;0.6;0;3.8;0;0;3.8;0;0;0;2.72;0;1.36;0;0;2.21;0;0;0;1;0;1;0;0;1;0
358;50;6;160;0;0.5;730;113;700;0;2;4;2;4;5;9;0;16.17;0;0;35.67;0;33.6;20.27;23.33;0;0;18.5;15.1;5.17;15.1;8.23;15.1;0;3;0;0;8.88;0;5.4;9.12;9.12;0;0;3.3;0;1.3;1.7;2.1;0;0.61;0;0;0.68;0;0.44;1.12;1.12;0;1;0;0;1;0;1;1;1
359;44;4;40;1;0.5;755;319;511;1;1;2;1;2;7;8;13.12;13.12;13.43;0;18.78;11.68;19.62;12.53;0;3.18;8.5;11.12;8.5;4.03;8.5;0;0;5.4;0;15.12;0;3.83;4.92;3.72;3.82;0;2.3;0;3;3.2;3.2;5.5;0;3.77;1.36;2.72;0;1.36;2.18;0.88;2.04;0;1;1;1;0;1;1;1;1;0
360;50;6;160;0;0.5;730;113;700;0;2;4;2;4;5;9;0;16.17;0;0;35.67;0;33.6;20.27;23.33;0;0;18.5;15.1;5.17;15.1;8.23;15.1;0;3;0;0;8.88;0;5.4;9.12;9.12;0;0;3.3;0;1.3;1.7;2.1;0;0.61;0;0;0.68;0;0.44;1.12;1.12;0;1;0;0;1;0;1;1;1
361;44;5;60;0;0;800;411;511;1;0;2;1;2;4;5;0;0;12.83;0;17.33;0;0;13.8;13.9;0;0;0;0;1.9;11.9;2;11.9;0;0;6.6;0;6.48;0;0;6.12;6.12;0.6;0;0.5;0;0;3.8;3.4;0;0;2.72;0;1.36;0;0;2.21;2.21;0;0;1;0;1;0;0;1;1
362;40;4;52;1;1;730;318;700;1;2;2;1;2;6;6;19.08;0;17.98;0;32.18;20.22;0;19;21.7;5.12;15.1;0;0;3.9;15.1;6.6;15.1;1.8;0;8.77;0;9.12;6.37;0;9.37;9.37;0.6;0;1;1.3;0;1.9;1.8;0.78;0;2.04;0;0.68;0.99;0;1.46;1.05;1;0;1;0;1;1;0;1;1
363;45;6;85;1;0.33;750;322;700;1;1;1;2;3;6;1;19.83;0;20.12;0;39.43;20.77;0;19.93;23.58;5.67;15.1;0;0;4.83;15.1;8.48;15.1;1.8;0;5.17;0;5.17;6.37;0;5.77;5.77;1;0;0.5;1.3;0;2.3;1.6;1.9;0;2.04;0;0.68;1.67;0;1.29;1.12;1;0;1;0;1;1;0;1;1
364;52;6;80;1;0.5;800;405;512;1;1;4;1;2;8;5;15.33;15.33;16.88;0;18;14.22;22.2;16.9;16;2.82;11.4;10.8;11.4;4.2;12.7;4.6;11.4;5.4;0;5.03;0;3.6;6.97;5.77;11.03;11.03;2.3;0;3.5;3.2;3.2;5.5;4.1;3.94;1.46;2.72;0;1.36;2.14;0.88;2.21;2.21;1;1;1;0;1;1;1;1;1
365;50;6;110;1;0;800;314;513;0;0;1;2;0;4;5;0;0;13.88;0;19.98;0;0;10.8;11.17;0;0;0;0;1.8;9;2.17;9;0;0;5.03;0;5.77;0;0;9.37;9.37;2.3;0;0.2;0;0;5.5;3.3;0;0;2.72;0;1.36;0;0;2.21;2.21;0;0;1;0;1;0;0;1;1
