ID;HTS;TAMHOGAR;INGFAM;SEXO;AUTLIC;HORA;ORIGEN;DESTINO;JEFEHOGAR;NUMAUTO;NUMEST;NUMTRAB;LICTOT;CANTALT;ELECCION;TV1;TV2;TV3;TV4;TV5;TV6;TV7;TV8;TV9;TV6A;TV6M;TV7A;TV7M;TV8T;TV8M;TV9B;TV9M;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TE3;TE4;TE5;TE6;TE7;TE8;TE9;CT1;CT2;CT3;CT4;CT5;CT6;CT7;CT8;CT9;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9
57;40;4;80.00;1;0.50;820;121;700;1;1;2;1;2;8;3;15.92;15.92;18.42;0.00;37.62;21.40;25.22;22.50;25.00;6.30;15.10;10.12;15.10;7.40;15.10;14.80;10.20;7.80;7.80;9.60;0.00;9.60;7.80;7.80;9.83;9.83;1.00;0.00;1.60;1.30;1.30;2.30;2.60;4.52;0.88;2.04;0.00;0.68;1.12;0.48;1.63;1.12;1;1;1;0;1;1;1;1;1
58;45;3;90.00;0;1.00;750;411;512;0;1;1;2;1;3;8;0.00;0.00;0.00;0.00;19.48;0.00;0.00;14.92;15.87;0.00;0.00;0.00;0.00;2.22;12.70;3.17;12.70;0.00;0.00;0.00;0.00;6.60;0.00;0.00;6.97;9.97;0.00;0.00;0.50;0.00;0.00;3.80;3.40;0.00;0.00;0.00;0.00;1.36;0.00;0.00;2.04;2.21;0;0;0;0;1;0;0;1;1
59;44;6;40.00;0;0.00;720;412;512;0;0;2;2;0;3;8;0.00;0.00;0.00;0.00;27.52;0.00;0.00;19.25;20.13;0.00;0.00;0.00;0.00;6.55;12.70;7.43;12.70;0.00;0.00;0.00;0.00;15.60;0.00;0.00;13.43;13.43;0.00;0.00;0.30;0.00;0.00;3.80;3.80;0.00;0.00;0.00;0.00;1.36;0.00;0.00;2.11;2.11;0;0;0;0;1;0;0;1;1
60;40;4;160.00;1;1.00;830;410;700;1;2;2;1;2;8;1;19.13;19.13;21.62;0.00;28.63;19.72;28.85;18.72;20.62;4.62;15.10;13.75;15.10;3.62;15.10;5.52;15.10;2.40;2.40;9.37;0.00;9.37;7.80;7.80;9.60;9.60;0.80;0.00;0.90;1.30;1.30;2.08;4.30;4.45;0.34;2.04;0.00;0.68;1.29;0.44;1.46;1.12;1;1;1;0;1;1;1;1;1
61;44;4;50.00;0;1.00;800;404;110;1;1;1;1;1;2;5;0.00;0.00;0.00;12.70;14.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.17;3.72;0.00;0.00;0.00;0.00;0.00;3.20;0.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.85;1.36;0.00;0.00;0.00;0.00;0;0;0;1;1;0;0;0;0
62;50;5;80.00;1;0.50;810;318;700;1;1;2;1;2;8;3;20.82;20.82;20.68;0.00;36.37;21.57;40.57;20.43;23.87;6.47;15.10;25.47;15.10;5.33;15.10;8.77;15.10;7.43;7.43;7.20;0.00;11.40;4.20;4.20;7.43;7.43;0.60;0.00;1.00;1.30;1.30;1.90;1.80;5.13;0.85;2.04;0.00;0.68;1.60;0.48;1.46;1.12;1;1;1;0;1;1;1;1;1
63;48;2;80.00;0;0.50;815;305;700;0;1;0;2;2;3;4;0.00;0.00;9.38;7.60;18.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.40;7.20;5.40;0.00;0.00;0.00;0.00;0.30;1.30;0.20;0.00;0.00;0.00;0.00;0.00;0.00;2.04;0.44;0.68;0.00;0.00;0.00;0.00;0;0;1;1;1;0;0;0;0
64;44;2;19.50;0;0.00;745;419;510;1;0;0;1;0;5;8;0.00;16.55;0.00;0.00;19.43;0.00;21.33;14.72;15.07;0.00;0.00;10.23;11.10;3.62;11.10;3.97;11.10;0.00;0.37;0.00;0.00;8.77;0.00;8.77;11.77;11.77;0.00;0.00;1.30;0.00;2.00;4.30;2.60;0.00;2.11;0.00;0.00;1.36;0.00;0.48;1.60;1.77;0;1;0;0;1;0;1;1;1
65;48;5;75.00;0;0.00;810;313;511;0;0;2;2;0;2;5;0.00;0.00;6.58;0.00;11.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.12;0.00;3.12;0.00;0.00;0.00;0.00;0.50;0.00;0.70;0.00;0.00;0.00;0.00;0.00;0.00;2.72;0.00;1.36;0.00;0.00;0.00;0.00;0;0;1;0;1;0;0;0;0
66;44;2;30.00;0;0.00;810;411;511;1;0;1;1;1;6;3;0.00;14.53;14.58;0.00;21.62;0.00;24.80;14.77;15.28;0.00;0.00;12.90;11.90;2.87;11.90;3.38;11.90;0.00;0.00;1.43;0.00;2.03;0.00;2.17;3.00;3.00;1.30;0.00;1.30;0.00;3.20;4.50;3.40;0.00;1.80;3.06;0.00;1.36;0.00;0.88;1.87;2.21;0;1;1;0;1;0;1;1;1
67;44;4;80.00;0;1.00;800;509;700;1;1;0;1;1;4;1;24.10;24.10;18.65;0.00;36.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.40;2.40;9.72;0.00;10.32;0.00;0.00;0.00;0.00;0.50;0.00;2.30;0.00;0.00;0.00;0.00;1.90;0.58;2.04;0.00;0.68;0.00;0.00;0.00;0.00;1;1;1;0;1;0;0;0;0
68;48;7;20.00;1;0.00;715;403;510;1;0;4;1;0;2;4;0.00;0.00;0.00;11.10;13.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.00;2.40;0.00;0.00;0.00;0.00;0.00;2.00;0.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.37;1.36;0.00;0.00;0.00;0.00;0;0;0;1;1;0;0;0;0
69;35;7;40.00;1;0.00;820;707;700;0;0;0;5;0;3;4;0.00;0.00;9.58;8.88;20.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.20;7.20;7.20;0.00;0.00;0.00;0.00;0.30;1.30;0.20;0.00;0.00;0.00;0.00;0.00;0.00;2.04;0.44;0.68;0.00;0.00;0.00;0.00;0;0;1;1;1;0;0;0;0
70;44;4;140.00;1;1.00;800;519;700;1;1;2;2;1;8;1;26.23;26.23;16.57;0.00;42.33;21.88;32.65;24.07;28.15;6.78;15.10;17.55;15.10;8.97;15.10;13.05;15.10;2.40;2.40;21.60;0.00;11.17;6.60;6.60;8.63;11.40;0.50;0.00;1.60;1.30;1.30;1.80;2.60;1.46;0.37;1.70;0.00;0.68;1.43;0.44;1.46;1.12;1;1;1;0;1;1;1;1;1
71;40;2;25.00;1;0.00;800;400;512;1;0;0;1;0;4;5;0.00;0.00;14.05;0.00;17.20;0.00;0.00;11.80;13.20;0.00;0.00;0.00;0.00;1.50;10.30;2.90;10.30;0.00;0.00;2.77;0.00;7.32;0.00;0.00;11.88;11.88;0.60;0.00;5.00;0.00;0.00;3.80;3.80;0.00;0.00;3.40;0.00;1.36;0.00;0.00;2.21;2.21;0;0;1;0;1;0;0;1;1
72;40;5;80.00;1;1.00;815;402;510;1;1;3;2;1;5;8;13.23;0.00;0.00;0.00;20.73;13.17;0.00;13.70;15.38;4.47;8.70;0.00;0.00;5.00;8.70;6.68;8.70;1.68;0.00;0.00;0.00;8.03;10.32;0.00;10.92;10.92;0.00;0.00;2.00;2.00;0.00;2.60;2.80;4.32;0.00;0.00;0.00;1.36;2.11;0.00;1.56;1.73;1;0;0;0;1;1;0;1;1
